text
Label: Accident Was Injured: Yes Person Involved: Frankie Smith Department: Health & Safety Location: Paint Shop Incident Time: 12:33 Injury Description: Dislocated shoulder during equipment maintenance Incident Date: 12 March 2025 Reporter Name: Avery Robinson Incident Description: Exposure to high-voltage wiring led to concussion.
Person Involved: Peyton Parker Department: Dockyard Operations Location: Electrical Bay Injury Description: Hearing damage from loud machinery Incident Time: 23:41 Was Injured: Yes Incident Description: Exposure to toxic fumes led to burns. Label: Accident Incident Date: 23 November 2024 Reporter Name: Avery Lewis
Injury Description: Minor cuts and bruises Incident Description: Exposure to asbestos led to burns. Incident Time: 04:05 Label: Accident Was Injured: Yes Location: Fleet Garage Department: Environmental Services Incident Date: 22 June 2024 Reporter Name: Skyler Parker Person Involved: Sydney Bailey
"Injury Description: Fractured wrist from fall on wet surface Department: Legal Label: Accident Location: Main Gate Security Incident Time: 21:10 Incident Date: 04 May 2025 Incident Description: grinder malfunction caused a steel beam to drop, injuring a contractor. Reporter Name: Jordan Pearson Was Injured: Yes Person Involved: Finley Lewis"
Department: Communications Injury Description: Hearing damage from loud machinery Reporter Name: Kai Clark Incident Time: 06:45 Label: Accident Person Involved: Sawyer Ward Incident Description: Exposure to toxic fumes led to burns. Location: Main Gate Security Was Injured: Yes Incident Date: 30 June 2025
"Label: Accident Reporter Name: Kai Smith Location: Tool Crib Incident Date: 11 July 2025 Person Involved: Blake Brown Was Injured: Yes Incident Time: 02:44 Incident Description: crane malfunction caused a steel beam to drop, injuring a contractor. Department: Finance Injury Description: Puncture wound from misplaced tool"
Injury Description: Compressed air injury during maintenance Incident Date: 09 September 2024 Incident Description: Exposure to toxic fumes led to burns. Department: Communications Incident Time: 11:08 Was Injured: Yes Person Involved: Riley Hughes Location: Tool Crib Label: Accident Reporter Name: Drew Reed
"Incident Description: Worker fell from ladder while welding, resulting in burns. Was Injured: Yes Label: Accident Injury Description: Electric shock from faulty wiring Incident Date: 31 July 2025 Incident Time: 10:01 Person Involved: Dakota Smith Location: Fleet Garage Reporter Name: Avery Clark Department: IT"
"Was Injured: Yes Reporter Name: Quinn Mitchell Department: Quality Assurance Location: Shipyard Pier Incident Description: grinder malfunction caused electrical fire, injuring a contractor. Incident Date: 01 April 2025 Person Involved: Kai Morgan Injury Description: Fractured wrist from fall on wet surface Label: Accident Incident Time: 05:26"
"Was Injured: Yes Person Involved: Charlie Fisher Location: Electrical Bay Incident Time: 03:02 Reporter Name: Peyton Clark Label: Accident Incident Date: 13 May 2025 Department: Dockyard Operations Incident Description: forklift malfunction caused electrical fire, injuring a contractor. Injury Description: Fractured wrist from fall on wet surface"
"Person Involved: Jordan Walker Reporter Name: Kai Brown Label: Accident Was Injured: Yes Incident Description: grinder malfunction caused electrical fire, injuring two workers. Incident Date: 08 March 2024 Location: Warehouse B Injury Description: Chemical burn from solvent exposure Incident Time: 17:49 Department: Fleet Management"
"Injury Description: Dislocated shoulder during equipment maintenance Label: Accident Reporter Name: Harper Robinson Incident Time: 19:06 Incident Description: grinder malfunction caused electrical fire, injuring a contractor. Location: Office - Admin Block Was Injured: Yes Department: Engineering Incident Date: 28 February 2024 Person Involved: Rowan Johnson"
Incident Description: Exposure to high-voltage wiring led to burns. Injury Description: Trip hazard fall resulting in bruising Was Injured: Yes Person Involved: Avery Holmes Incident Date: 01 December 2024 Reporter Name: Rowan Bennett Incident Time: 11:31 Location: Maintenance Shed Department: Warehouse Label: Accident
